"Rank","Player","Team","Position","Points","Games","Avg"
"1","Travis Kelce","KC","TE","41.1","1","41.1"
"2","Tyler Huntley","BAL","QB","35.9","1","35.9"
"3","Mark Andrews","BAL","TE","35.6","1","35.6"
"4","Cooper Kupp","LAR","WR","34.7","1","34.7"
"5","Tyreek Hill","KC","WR","32.8","1","32.8"
"6","Patrick Mahomes II","KC","QB","30.6","1","30.6"
"7","Brandin Cooks","HOU","WR","29.2","1","29.2"
"8","Jalen Hurts","PHI","QB","28.6","1","28.6"
"9","Hunter Henry","NE","TE","25.7","1","25.7"
"9","Duke Johnson Jr.","MIA","RB","25.7","1","25.7"
"11","Gabriel Davis","BUF","WR","25.5","1","25.5"
"12","Christian Kirk","ARI","WR","24.4","1","24.4"
"13","Cam Newton","CAR","QB","24.3","1","24.3"
"14","Justin Herbert","LAC","QB","24.0","1","24.0"
"15","Aaron Rodgers","GB","QB","23.8","1","23.8"
"16","Amon-Ra St. Brown","DET","WR","23.5","1","23.5"
"17","Russell Gage","ATL","WR","23.1","1","23.1"
"18","Jonathan Taylor","IND","RB","23.0","1","23.0"
"19","Josh Allen","BUF","QB","21.8","1","21.8"
"20","Marquez Valdes-Scantling","GB","WR","20.8","1","20.8"
"21","Dalton Schultz","DAL","TE","20.7","1","20.7"
"22","Jared Goff","DET","QB","20.6","1","20.6"
"22","Tyler Boyd","CIN","WR","20.6","1","20.6"
"24","Dallas Goedert","PHI","TE","20.5","1","20.5"
"25","Jeff Wilson Jr.","SF","RB","19.9","1","19.9"
"26","Keenan Allen","LAC","WR","19.8","1","19.8"
"27","Mac Jones","NE","QB","19.2","1","19.2"
"28","Deebo Samuel","SF","WR","18.9","1","18.9"
"29","Josh Reynolds","Multi","WR","18.8","1","18.8"
"30","Antonio Gibson","WAS","RB","18.5","1","18.5"
"31","Austin Ekeler","LAC","RB","18.2","1","18.2"
"32","New Orleans Saints","NO","DST","18.0","1","18.0"
"33","James Robinson","JAC","RB","17.8","1","17.8"
"34","Marquez Callaway","NO","WR","17.2","1","17.2"
"35","Justin Fields","CHI","QB","16.9","1","16.9"
"36","DeVante Parker","MIA","WR","16.8","1","16.8"
"37","Devin Singletary","BUF","RB","16.6","1","16.6"
"37","Miles Sanders","PHI","RB","16.6","1","16.6"
"39","Matthew Stafford","LAR","QB","16.5","1","16.5"
"40","Davante Adams","GB","WR","16.4","1","16.4"
"41","Nick Chubb","CLE","RB","16.3","1","16.3"
"42","Ezekiel Elliott","DAL","RB","16.2","1","16.2"
"43","Ka'imi Fairbairn","HOU","K","16.0","1","16.0"
"43","Dallas Cowboys","DAL","DST","16.0","1","16.0"
"43","Pittsburgh Steelers","PIT","DST","16.0","1","16.0"
"46","Tua Tagovailoa","MIA","QB","15.7","1","15.7"
"47","Davis Mills","HOU","QB","15.6","1","15.6"
"48","Ameer Abdullah","Multi","RB","15.5","1","15.5"
"48","D'Onta Foreman","TEN","RB","15.5","1","15.5"
"50","George Kittle","SF","TE","15.3","1","15.3"
"51","Minnesota Vikings","MIN","DST","15.0","1","15.0"
"51","Aaron Jones","GB","RB","15.0","1","15.0"
"51","Chris Boswell","PIT","K","15.0","1","15.0"
"54","Justin Jefferson","MIN","WR","14.7","1","14.7"
"55","Marquise Brown","BAL","WR","14.3","1","14.3"
"56","DeeJay Dallas","SEA","RB","14.2","1","14.2"
"57","Indianapolis Colts","IND","DST","14.0","1","14.0"
"57","Riley Patterson","DET","K","14.0","1","14.0"
"59","Jimmy Garoppolo","SF","QB","13.8","1","13.8"
"60","Leonard Fournette","TB","RB","13.7","1","13.7"
"61","Kyler Murray","ARI","QB","13.6","1","13.6"
