"Rank","Player","Team","Position","Points","Games","Avg"
"1","Derrick Henry","TEN","RB","47.7","1","47.7"
"2","Aaron Jones","GB","RB","41.5","1","41.5"
"3","Cooper Kupp","LAR","WR","36.8","1","36.8"
"4","Kyler Murray","ARI","QB","35.1","1","35.1"
"5","Lamar Jackson","BAL","QB","34.3","1","34.3"
"6","Tyler Lockett","SEA","WR","31.8","1","31.8"
"7","Tom Brady","TB","QB","29.6","1","29.6"
"8","Daniel Jones","NYG","QB","29.5","1","29.5"
"9","Terry McLaurin","WAS","WR","27.7","1","27.7"
"10","Aaron Rodgers","GB","QB","26.8","1","26.8"
"11","Kirk Cousins","MIN","QB","25.3","1","25.3"
"12","Patrick Mahomes II","KC","QB","25.0","1","25.0"
"13","Courtland Sutton","DEN","WR","24.9","1","24.9"
"14","Christian McCaffrey","CAR","RB","24.7","1","24.7"
"15","Mike Evans","TB","WR","24.5","1","24.5"
"16","Rondale Moore","ARI","WR","24.4","1","24.4"
"17","Derek Carr","LV","QB","24.2","1","24.2"
"18","Cordarrelle Patterson","ATL","RB","23.9","1","23.9"
"18","Travis Kelce","KC","TE","23.9","1","23.9"
"20","Russell Wilson","SEA","QB","23.3","1","23.3"
"20","Marquise Brown","BAL","WR","23.3","1","23.3"
"22","Tony Pollard","DAL","RB","23.0","1","23.0"
"23","Brandin Cooks","HOU","WR","22.8","1","22.8"
"24","Henry Ruggs III","LV","WR","22.5","1","22.5"
"24","Austin Ekeler","LAC","RB","22.5","1","22.5"
"26","Mike Williams","LAC","WR","22.1","1","22.1"
"27","Buffalo Bills","BUF","DST","22.0","1","22.0"
"27","Graham Gano","NYG","K","22.0","1","22.0"
"29","DJ Moore","CAR","WR","21.9","1","21.9"
"30","Jalen Hurts","PHI","QB","21.8","1","21.8"
"31","Teddy Bridgewater","DEN","QB","21.2","1","21.2"
"32","Freddie Swain","SEA","WR","21.0","1","21.0"
"32","Taylor Heinicke","WAS","QB","21.0","1","21.0"
"34","T.J. Hockenson","DET","TE","20.6","1","20.6"
"35","J.D. McKissic","WAS","RB","20.3","1","20.3"
"35","Michael Pittman Jr.","IND","WR","20.3","1","20.3"
"37","K.J. Osborn","MIN","WR","20.1","1","20.1"
"37","Davante Adams","GB","WR","20.1","1","20.1"
"39","Chicago Bears","CHI","DST","20.0","1","20.0"
"40","Sam Darnold","CAR","QB","19.9","1","19.9"
"40","Rob Gronkowski","TB","TE","19.9","1","19.9"
"42","Jimmy Garoppolo","SF","QB","19.6","1","19.6"
"43","Diontae Johnson","PIT","WR","19.5","1","19.5"
"44","Jared Goff","DET","QB","19.4","1","19.4"
"45","Calvin Ridley","ATL","WR","19.3","1","19.3"
"45","Matt Ryan","ATL","QB","19.3","1","19.3"
"47","Najee Harris","PIT","RB","19.1","1","19.1"
"48","Tampa Bay Buccaneers","TB","DST","19.0","1","19.0"
"48","New England Patriots","NE","DST","19.0","1","19.0"
"50","Julio Jones","TEN","WR","18.8","1","18.8"
"51","Carson Wentz","IND","QB","18.6","1","18.6"
"52","Baker Mayfield","CLE","QB","18.5","1","18.5"
"52","James White","NE","RB","18.5","1","18.5"
"52","Justin Jefferson","MIN","WR","18.5","1","18.5"
"55","Matthew Stafford","LAR","QB","18.2","1","18.2"
"56","Josh Allen","BUF","QB","17.7","1","17.7"
"56","Ezekiel Elliott","DAL","RB","17.7","1","17.7"
"58","Sterling Shepard","NYG","WR","17.5","1","17.5"
"58","Marvin Jones Jr.","JAC","WR","17.5","1","17.5"
"60","CeeDee Lamb","DAL","WR","17.4","1","17.4"
"61","Darrell Henderson Jr.","LAR","RB","17.2","1","17.2"
"62","Devin Singletary","BUF","RB","17.1","1","17.1"
"63","Daniel Carlson","LV","K","17.0","1","17.0"
"64","Nick Chubb","CLE","RB","16.8","1","16.8"
"64","Dalvin Cook","MIN","RB","16.8","1","16.8"
"66","Justin Herbert","LAC","QB","16.7","1","16.7"
"67","Tyrod Taylor","HOU","QB","16.5","1","16.5"
"68","Maxx Williams","ARI","TE","16.4","1","16.4"
"68","JuJu Smith-Schuster","PIT","WR","16.4","1","16.4"
"70","Quintez Cephus","DET","WR","16.3","1","16.3"
"71","Chris Godwin","TB","WR","16.2","1","16.2"
"72","Deebo Samuel","SF","WR","16.1","1","16.1"
"73","Stefon Diggs","BUF","WR","16.0","1","16.0"
"73","Tee Higgins","CIN","WR","16.0","1","16.0"
"75","Adam Thielen","MIN","WR","15.9","1","15.9"
"76","DeAndre Hopkins","ARI","WR","15.4","1","15.4"
"76","Zack Moss","BUF","RB","15.4","1","15.4"
"78","Chris Carson","SEA","RB","15.1","1","15.1"
"79","Nick Folk","NE","K","15.0","1","15.0"
"79","Randy Bullock","TEN","K","15.0","1","15.0"
"81","Keenan Allen","LAC","WR","14.8","1","14.8"
"81","Ben Roethlisberger","PIT","QB","14.8","1","14.8"
"81","Zach Pascal","IND","WR","14.8","1","14.8"
"84","Ryan Tannehill","TEN","QB","14.6","1","14.6"
"85","Darius Slayton","NYG","WR","14.4","1","14.4"
"86","Braxton Berrios","NYJ","WR","14.3","1","14.3"
"86","Tyler Boyd","CIN","WR","14.3","1","14.3"
"86","Byron Pringle","KC","WR","14.3","1","14.3"
"89","Robert Tonyan","GB","TE","14.2","1","14.2"
"90","Dustin Hopkins","Multi","K","14.0","1","14.0"
"91","Quez Watkins","PHI","WR","13.7","1","13.7"
"92","Demarcus Robinson","KC","WR","13.6","1","13.6"
"93","Jack Doyle","IND","TE","13.4","1","13.4"
"93","A.J. Green","ARI","WR","13.4","1","13.4"
"93","Brandon Zylstra","CAR","WR","13.4","1","13.4"
"93","Ja'Marr Chase","CIN","WR","13.4","1","13.4"
"93","Damien Harris","NE","RB","13.4","1","13.4"
"98","Noah Fant","DEN","TE","13.3","1","13.3"
"98","Joe Burrow","CIN","QB","13.3","1","13.3"
"98","Mike Davis","ATL","RB","13.3","1","13.3"
"101","Demetric Felton","CLE","RB","13.1","1","13.1"
"102","Greg Joseph","MIN","K","13.0","1","13.0"
"102","Brandon McManus","DEN","K","13.0","1","13.0"
"104","Tim Patrick","DEN","WR","12.7","1","12.7"
"105","Darnell Mooney","CHI","WR","12.6","1","12.6"
"106","Chase Edmonds","ARI","RB","12.5","1","12.5"
"107","Kyle Pitts","ATL","TE","12.3","1","12.3"
"108","Matt Prater","ARI","K","12.0","1","12.0"
"108","Robert Woods","LAR","WR","12.0","1","12.0"
"108","Minnesota Vikings","MIN","DST","12.0","1","12.0"
"108","Carolina Panthers","CAR","DST","12.0","1","12.0"
"108","Rodrigo Blankenship","IND","K","12.0","1","12.0"
"113","D'Andre Swift","DET","RB","11.8","1","11.8"
"114","Leonard Fournette","TB","RB","11.6","1","11.6"
"115","Darren Waller","LV","TE","11.5","1","11.5"
"116","Adam Humphries","WAS","WR","11.4","1","11.4"
"116","Foster Moreau","LV","TE","11.4","1","11.4"
"118","D.K. Metcalf","SEA","WR","11.3","1","11.3"
"118","Ty'Son Williams","BAL","RB","11.3","1","11.3"
"120","Indianapolis Colts","IND","DST","11.0","1","11.0"
"121","David Montgomery","CHI","RB","10.9","1","10.9"
"122","Michael Carter","NYJ","RB","10.8","1","10.8"
"123","Mark Andrews","BAL","TE","10.7","1","10.7"
"123","Hunter Renfrow","LV","WR","10.7","1","10.7"
"125","Mecole Hardman","KC","WR","10.5","1","10.5"
"125","Kenyan Drake","LV","RB","10.5","1","10.5"
"127","Allen Robinson II","CHI","WR","10.4","1","10.4"
"128","Jameis Winston","NO","QB","10.3","1","10.3"
"129","Tristan Vizcaino","LAC","K","10.0","1","10.0"
"129","Greg Zuerlein","DAL","K","10.0","1","10.0"
"131","JaMycal Hasty","SF","RB","9.9","1","9.9"
"132","Jauan Jennings","SF","WR","9.7","1","9.7"
"132","Dawson Knox","BUF","TE","9.7","1","9.7"
"132","Chase Claypool","PIT","WR","9.7","1","9.7"
"135","Latavius Murray","BAL","RB","9.6","1","9.6"
"136","Christian Kirk","ARI","WR","9.5","1","9.5"
"136","Logan Thomas","WAS","TE","9.5","1","9.5"
"138","James Robinson","JAC","RB","9.4","1","9.4"
"138","Phillip Lindsay","Multi","RB","9.4","1","9.4"
"140","Antonio Gibson","WAS","RB","9.3","1","9.3"
"141","DeVante Parker","MIA","WR","9.2","1","9.2"
"142","Matt Gay","LAR","K","9.0","1","9.0"
"142","Jacksonville Jaguars","JAC","DST","9.0","1","9.0"
"142","Austin Hooper","CLE","TE","9.0","1","9.0"
"142","Denver Broncos","DEN","DST","9.0","1","9.0"
"142","Zane Gonzalez","CAR","K","9.0","1","9.0"
"147","Saquon Barkley","NYG","RB","8.9","1","8.9"
"147","Harrison Bryant","CLE","TE","8.9","1","8.9"
"147","Melvin Gordon III","DEN","RB","8.9","1","8.9"
"147","Ricky Seals-Jones","WAS","TE","8.9","1","8.9"
"151","Jaylen Waddle","MIA","WR","8.8","1","8.8"
"151","Trevor Lawrence","JAC","QB","8.8","1","8.8"
"153","Elijah Moore","NYJ","WR","8.7","1","8.7"
"153","Andy Dalton","CHI","QB","8.7","1","8.7"
"155","Myles Gaskin","MIA","RB","8.6","1","8.6"
"156","Dak Prescott","DAL","QB","8.5","1","8.5"
"156","Dan Arnold","Multi","TE","8.5","1","8.5"
"158","Javonte Williams","DEN","RB","8.4","1","8.4"
"158","Sammy Watkins","BAL","WR","8.4","1","8.4"
"160","Joe Mixon","CIN","RB","8.1","1","8.1"
"161","San Francisco 49ers","SF","DST","8.0","1","8.0"
"161","Los Angeles Rams","LAR","DST","8.0","1","8.0"
"161","Cairo Santos","CHI","K","8.0","1","8.0"
"164","Jakobi Meyers","NE","WR","7.8","1","7.8"
"164","Russell Gage","ATL","WR","7.8","1","7.8"
"166","Pat Freiermuth","PIT","TE","7.6","1","7.6"
"166","Cole Beasley","BUF","WR","7.6","1","7.6"
"168","Mac Jones","NE","QB","7.4","1","7.4"
"169","MyCole Pruitt","TEN","TE","7.3","1","7.3"
"169","Elijah Mitchell","SF","RB","7.3","1","7.3"
"169","A.J. Brown","TEN","WR","7.3","1","7.3"
"172","Kenneth Gainwell","PHI","RB","7.2","1","7.2"
"173","Mike Gesicki","MIA","TE","7.1","1","7.1"
"174","Evan McPherson","CIN","K","7.0","1","7.0"
"174","Justin Tucker","BAL","K","7.0","1","7.0"
"174","Bryan Edwards","LV","WR","7.0","1","7.0"
"174","Kansas City Chiefs","KC","DST","7.0","1","7.0"
"174","Davis Mills","HOU","QB","7.0","1","7.0"
"174","Dallas Cowboys","DAL","DST","7.0","1","7.0"
"174","Chase McLaughlin","CLE","K","7.0","1","7.0"
