"Rank","Player","Team","Position","Points","Games","Avg"
"1","Josh Allen","BUF","QB","36.2","1","36.2"
"2","Dalvin Cook","MIN","RB","35.2","1","35.2"
"3","Davante Adams","GB","WR","34.1","1","34.1"
"3","George Kittle","SF","TE","34.1","1","34.1"
"5","James Conner","ARI","RB","33.5","1","33.5"
"6","Cooper Kupp","LAR","WR","31.3","1","31.3"
"7","Tom Brady","TB","QB","30.1","1","30.1"
"8","Aaron Rodgers","GB","QB","29.6","1","29.6"
"9","Hunter Renfrow","LV","WR","28.7","1","28.7"
"10","Mark Andrews","BAL","TE","28.5","1","28.5"
"11","Tyler Lockett","SEA","WR","27.2","1","27.2"
"12","Rashaad Penny","SEA","RB","26.8","1","26.8"
"13","Taysom Hill","NO","QB","26.3","1","26.3"
"14","Ben Roethlisberger","PIT","QB","25.8","1","25.8"
"15","Najee Harris","PIT","RB","25.4","1","25.4"
"16","Ja'Marr Chase","CIN","WR","25.3","1","25.3"
"17","Justin Herbert","LAC","QB","24.9","1","24.9"
"18","Alvin Kamara","NO","RB","24.5","1","24.5"
"19","Kansas City Chiefs","KC","DST","24.0","1","24.0"
"20","Matthew Stafford","LAR","QB","23.5","1","23.5"
"21","Leonard Fournette","TB","RB","23.2","1","23.2"
"22","Melvin Gordon III","DEN","RB","23.1","1","23.1"
"23","Joe Burrow","CIN","QB","22.2","1","22.2"
"24","Dallas Cowboys","DAL","DST","22.0","1","22.0"
"25","Aaron Jones","GB","RB","21.5","1","21.5"
"26","Robby Anderson","CAR","WR","21.4","1","21.4"
"27","Javonte Williams","DEN","RB","21.3","1","21.3"
"28","Russell Wilson","SEA","QB","21.2","1","21.2"
"29","Mike Evans","TB","WR","21.1","1","21.1"
"30","Tennessee Titans","TEN","DST","21.0","1","21.0"
"31","Allen Lazard","GB","WR","20.9","1","20.9"
"32","Justin Jefferson","MIN","WR","20.5","1","20.5"
"32","Chris Godwin","TB","WR","20.5","1","20.5"
"34","Justin Fields","CHI","QB","20.4","1","20.4"
"35","Patrick Mahomes II","KC","QB","20.3","1","20.3"
"36","Jimmy Garoppolo","SF","QB","20.1","1","20.1"
"37","Odell Beckham Jr.","Multi","WR","19.7","1","19.7"
"38","Kyler Murray","ARI","QB","19.4","1","19.4"
"39","Mike Glennon","NYG","QB","19.3","1","19.3"
"40","Clyde Edwards-Helaire","KC","RB","19.2","1","19.2"
"41","Dawson Knox","BUF","TE","19.0","1","19.0"
"42","Brandon Aiyuk","SF","WR","18.6","1","18.6"
"43","Saquon Barkley","NYG","RB","18.5","1","18.5"
"44","Brandin Cooks","HOU","WR","18.1","1","18.1"
"44","Jakeem Grant Sr.","Multi","WR","18.1","1","18.1"
"46","Davis Mills","HOU","QB","18.0","1","18.0"
"47","Jalen Guyton","LAC","WR","17.7","1","17.7"
"48","Joshua Palmer","LAC","WR","17.6","1","17.6"
"49","Chase Claypool","PIT","WR","17.5","1","17.5"
"50","Rashod Bateman","BAL","WR","17.3","1","17.3"
"50","K.J. Osborn","MIN","WR","17.3","1","17.3"
"52","A.J. Green","ARI","WR","17.2","1","17.2"
"53","Derrick Gore","KC","RB","16.9","1","16.9"
"54","Ryan Tannehill","TEN","QB","16.5","1","16.5"
"54","James Washington","PIT","WR","16.5","1","16.5"
"56","Austin Ekeler","LAC","RB","16.4","1","16.4"
"56","Tee Higgins","CIN","WR","16.4","1","16.4"
"58","Amari Cooper","DAL","WR","16.1","1","16.1"
"59","Matt Prater","ARI","K","16.0","1","16.0"
"59","Kirk Cousins","MIN","QB","16.0","1","16.0"
"59","Baker Mayfield","CLE","QB","16.0","1","16.0"
"62","Cam Sims","WAS","WR","15.9","1","15.9"
"63","Damiere Byrd","CHI","WR","15.6","1","15.6"
"64","Cole Beasley","BUF","WR","15.4","1","15.4"
"65","Amon-Ra St. Brown","DET","WR","15.3","1","15.3"
"65","Diontae Johnson","PIT","WR","15.3","1","15.3"
"65","Tyler Huntley","BAL","QB","15.3","1","15.3"
"65","Gabriel Davis","BUF","WR","15.3","1","15.3"
"69","Teddy Bridgewater","DEN","QB","15.2","1","15.2"
"70","Albert Okwuegbunam","DEN","TE","15.1","1","15.1"
"70","Jarvis Landry","CLE","WR","15.1","1","15.1"
"72","Justin Tucker","BAL","K","15.0","1","15.0"
"73","Devin Singletary","BUF","RB","14.9","1","14.9"
"74","Cam Newton","CAR","QB","14.8","1","14.8"
"74","Van Jefferson","LAR","WR","14.8","1","14.8"
"76","CeeDee Lamb","DAL","WR","14.6","1","14.6"
"77","DJ Moore","CAR","WR","14.4","1","14.4"
"77","Stefon Diggs","BUF","WR","14.4","1","14.4"
"79","D'Onta Foreman","TEN","RB","14.2","1","14.2"
"80","David Montgomery","CHI","RB","14.1","1","14.1"
"81","Harrison Butker","KC","K","14.0","1","14.0"
"81","Cairo Santos","CHI","K","14.0","1","14.0"
"81","Austin Hooper","CLE","TE","14.0","1","14.0"
