"Rank","Player","Team","Position","Points","Games","Avg"
"1","Tyreek Hill","KC","WR","47.6","1","47.6"
"2","Deebo Samuel","SF","WR","35.7","1","35.7"
"3","Cordarrelle Patterson","ATL","RB","34.6","1","34.6"
"4","Sam Darnold","CAR","QB","33.5","1","33.5"
"5","Patrick Mahomes II","KC","QB","32.3","1","32.3"
"6","DJ Moore","CAR","WR","31.9","1","31.9"
"7","Terry McLaurin","WAS","WR","30.3","1","30.3"
"8","Saquon Barkley","NYG","RB","29.6","1","29.6"
"9","Austin Ekeler","LAC","RB","29.5","1","29.5"
"10","Matt Ryan","ATL","QB","29.0","1","29.0"
"11","Jalen Hurts","PHI","QB","28.2","1","28.2"
"12","Taylor Heinicke","WAS","QB","27.9","1","27.9"
"13","Daniel Jones","NYG","QB","27.8","1","27.8"
"14","Dak Prescott","DAL","QB","27.0","1","27.0"
"15","C.J. Uzomah","CIN","TE","26.5","1","26.5"
"16","Derrick Henry","TEN","RB","25.7","1","25.7"
"17","Diontae Johnson","PIT","WR","24.2","1","24.2"
"18","Aaron Rodgers","GB","QB","24.1","1","24.1"
"19","Randall Cobb","GB","WR","23.9","1","23.9"
"20","Buffalo Bills","BUF","DST","23.0","1","23.0"
"21","Russell Wilson","SEA","QB","22.6","1","22.6"
"21","David Montgomery","CHI","RB","22.6","1","22.6"
"21","Kyler Murray","ARI","QB","22.6","1","22.6"
"24","Joe Burrow","CIN","QB","22.3","1","22.3"
"25","Justin Herbert","LAC","QB","21.3","1","21.3"
"26","Najee Harris","PIT","RB","21.1","1","21.1"
"26","Corey Davis","NYJ","WR","21.1","1","21.1"
"28","Josh Allen","BUF","QB","21.0","1","21.0"
"28","Van Jefferson","LAR","WR","21.0","1","21.0"
"30","Kenneth Gainwell","PHI","RB","20.9","1","20.9"
"31","Tyler Boyd","CIN","WR","20.8","1","20.8"
"32","Dawson Knox","BUF","TE","20.7","1","20.7"
"33","James Robinson","JAC","RB","20.6","1","20.6"
"33","James Conner","ARI","RB","20.6","1","20.6"
"35","Trey Lance","SF","QB","20.4","1","20.4"
