"Rank","Player","Team","Position","Points","Games","Avg"
"1","James Conner","ARI","RB","40.3","1","40.3"
"2","Jonathan Taylor","IND","RB","34.0","1","34.0"
"3","Lamar Jackson","BAL","QB","32.6","1","32.6"
"4","Justin Herbert","LAC","QB","31.6","1","31.6"
"5","Nick Chubb","CLE","RB","30.3","1","30.3"
"6","Matt Ryan","ATL","QB","28.5","1","28.5"
"7","Joe Mixon","CIN","RB","28.0","1","28.0"
"8","Elijah Moore","NYJ","WR","27.4","1","27.4"
"9","Josh Johnson","Multi","QB","25.5","1","25.5"
"10","Carson Wentz","IND","QB","24.2","1","24.2"
"11","DeVonta Smith","PHI","WR","22.6","1","22.6"
"12","Keenan Allen","LAC","WR","22.4","1","22.4"
"13","Teddy Bridgewater","DEN","QB","21.9","1","21.9"
"14","Kirk Cousins","MIN","QB","21.6","1","21.6"
"15","Pat Freiermuth","PIT","TE","21.3","1","21.3"
"16","Olamide Zaccheaus","ATL","WR","20.8","1","20.8"
"16","Nyheim Hines","IND","RB","20.8","1","20.8"
"18","Marquise Brown","BAL","WR","20.6","1","20.6"
"18","Darnell Mooney","CHI","WR","20.6","1","20.6"
"20","Cooper Kupp","LAR","WR","20.5","1","20.5"
"21","Alvin Kamara","NO","RB","20.4","1","20.4"
"22","Malik Turner","DAL","WR","20.3","1","20.3"
"22","Jimmy Garoppolo","SF","QB","20.3","1","20.3"
"24","George Kittle","SF","TE","20.1","1","20.1"
"25","New England Patriots","NE","DST","20.0","1","20.0"
"26","Dak Prescott","DAL","QB","19.9","1","19.9"
"27","Cordarrelle Patterson","ATL","RB","19.6","1","19.6"
"28","Justin Fields","CHI","QB","19.1","1","19.1"
"29","Brandon Aiyuk","SF","WR","18.7","1","18.7"
"30","Tim Patrick","DEN","WR","18.5","1","18.5"
"31","Cleveland Browns","CLE","DST","18.0","1","18.0"
"32","Hunter Renfrow","LV","WR","17.9","1","17.9"
"33","Travis Kelce","KC","TE","17.8","1","17.8"
"34","Melvin Gordon III","DEN","RB","17.5","1","17.5"
"35","Michael Pittman Jr.","IND","WR","17.4","1","17.4"
"35","Robert Woods","LAR","WR","17.4","1","17.4"
"37","Miami Dolphins","MIA","DST","17.0","1","17.0"
"37","Justin Jefferson","MIN","WR","17.0","1","17.0"
"37","Jacksonville Jaguars","JAC","DST","17.0","1","17.0"
"40","Najee Harris","PIT","RB","16.8","1","16.8"
"41","Baker Mayfield","CLE","QB","16.7","1","16.7"
"41","Jalen Hurts","PHI","QB","16.7","1","16.7"
"43","Donovan Peoples-Jones","CLE","WR","16.6","1","16.6"
"44","Christian Kirk","ARI","WR","16.4","1","16.4"
"45","Jaylen Waddle","MIA","WR","16.3","1","16.3"
"45","Devonta Freeman","BAL","RB","16.3","1","16.3"
"45","Colt McCoy","ARI","QB","16.3","1","16.3"
"48","Ben Roethlisberger","PIT","QB","16.2","1","16.2"
"48","Darren Waller","LV","TE","16.2","1","16.2"
"50","Chris Boswell","PIT","K","16.0","1","16.0"
"50","Trevor Siemian","NO","QB","16.0","1","16.0"
"50","Tennessee Titans","TEN","DST","16.0","1","16.0"
"50","Kenyan Drake","LV","RB","16.0","1","16.0"
"54","Myles Gaskin","MIA","RB","15.7","1","15.7"
"55","Dalvin Cook","MIN","RB","15.2","1","15.2"
"55","Devontae Booker","NYG","RB","15.2","1","15.2"
"57","Matthew Stafford","LAR","QB","15.1","1","15.1"
"58","Ryan Tannehill","TEN","QB","15.0","1","15.0"
"58","Houston Texans","HOU","DST","15.0","1","15.0"
"60","Cole Kmet","CHI","TE","14.7","1","14.7"
"61","Christian McCaffrey","CAR","RB","14.6","1","14.6"
"62","Stefon Diggs","BUF","WR","14.5","1","14.5"
"63","New York Giants","NYG","DST","14.0","1","14.0"
"64","Stephen Anderson","LAC","TE","13.9","1","13.9"
"65","Tee Higgins","CIN","WR","13.8","1","13.8"
"66","Josh Jacobs","LV","RB","13.5","1","13.5"
"67","Russell Gage","ATL","WR","13.4","1","13.4"
"68","Jordan Howard","PHI","RB","13.1","1","13.1"
"69","AJ Dillon","GB","RB","13.0","1","13.0"
"69","Brandon McManus","DEN","K","13.0","1","13.0"
"71","Jerry Jeudy","DEN","WR","12.9","1","12.9"
