"Rank","Player","Team","Position","Points","Games","Avg"
"1","Josh Allen","BUF","QB","37.2","1","37.2"
"2","Mike Williams","LAC","WR","33.2","1","33.2"
"3","Davante Adams","GB","WR","31.2","1","31.2"
"4","Justin Herbert","LAC","QB","30.8","1","30.8"
"5","Cooper Kupp","LAR","WR","30.6","1","30.6"
"6","Matthew Stafford","LAR","QB","29.5","1","29.5"
"7","Tom Brady","TB","QB","28.7","1","28.7"
"8","Najee Harris","PIT","RB","28.2","1","28.2"
"9","Kareem Hunt","CLE","RB","27.5","1","27.5"
"10","Justin Jefferson","MIN","WR","26.8","1","26.8"
"11","Ezekiel Elliott","DAL","RB","26.6","1","26.6"
"12","Emmanuel Sanders","BUF","WR","26.4","1","26.4"
"13","Dalton Schultz","DAL","TE","26.0","1","26.0"
"14","James Robinson","JAC","RB","25.4","1","25.4"
"15","Sam Darnold","CAR","QB","25.3","1","25.3"
"16","Kirk Cousins","MIN","QB","25.1","1","25.1"
"17","Patrick Mahomes II","KC","QB","24.9","1","24.9"
"18","D'Andre Swift","DET","RB","23.7","1","23.7"
"19","Ryan Tannehill","TEN","QB","23.5","1","23.5"
"20","Taylor Heinicke","WAS","QB","23.4","1","23.4"
"21","Peyton Barber","LV","RB","23.2","1","23.2"
"22","Alexander Mattison","MIN","RB","23.1","1","23.1"
"23","Austin Ekeler","LAC","RB","22.7","1","22.7"
"23","D.K. Metcalf","SEA","WR","22.7","1","22.7"
"25","Jalen Hurts","PHI","QB","22.5","1","22.5"
"25","Ja'Marr Chase","CIN","WR","22.5","1","22.5"
"27","Derek Carr","LV","QB","22.2","1","22.2"
"28","Kendrick Bourne","NE","WR","21.6","1","21.6"
"29","Saquon Barkley","NYG","RB","21.4","1","21.4"
"30","DeSean Jackson","Multi","WR","21.0","1","21.0"
"30","Arizona Cardinals","ARI","DST","21.0","1","21.0"
"32","Alvin Kamara","NO","RB","20.8","1","20.8"
"32","Cole Beasley","BUF","WR","20.8","1","20.8"
"34","Brandin Cooks","HOU","WR","20.7","1","20.7"
"35","DJ Moore","CAR","WR","20.5","1","20.5"
"36","Lamar Jackson","BAL","QB","20.3","1","20.3"
"36","Jacoby Brissett","MIA","QB","20.3","1","20.3"
"38","Dak Prescott","DAL","QB","20.1","1","20.1"
"38","Giovani Bernard","TB","RB","20.1","1","20.1"
"40","New Orleans Saints","NO","DST","20.0","1","20.0"
"40","Tyler Conklin","MIN","TE","20.0","1","20.0"
"42","Chris Godwin","TB","WR","19.6","1","19.6"
"43","Kyler Murray","ARI","QB","19.5","1","19.5"
"44","Derrick Henry","TEN","RB","19.4","1","19.4"
"45","Chase McLaughlin","CLE","K","19.0","1","19.0"
"45","Denver Broncos","DEN","DST","19.0","1","19.0"
"45","Keenan Allen","LAC","WR","19.0","1","19.0"
"45","Aaron Rodgers","GB","QB","19.0","1","19.0"
"49","Nyheim Hines","IND","RB","18.9","1","18.9"
"50","Hunter Renfrow","LV","WR","18.7","1","18.7"
"51","Chase Claypool","PIT","WR","18.6","1","18.6"
"51","Joe Burrow","CIN","QB","18.6","1","18.6"
"51","Mike Evans","TB","WR","18.6","1","18.6"
"51","Mike Gesicki","MIA","TE","18.6","1","18.6"
"55","Jakobi Meyers","NE","WR","18.4","1","18.4"
"56","James Conner","ARI","RB","18.3","1","18.3"
"57","Zack Moss","BUF","RB","18.1","1","18.1"
"58","Jaylen Waddle","MIA","WR","17.8","1","17.8"
"59","Aaron Jones","GB","RB","17.6","1","17.6"
"60","Christian Kirk","ARI","WR","17.4","1","17.4"
"60","Antonio Gibson","WAS","RB","17.4","1","17.4"
"60","Travis Kelce","KC","TE","17.4","1","17.4"
"63","George Kittle","SF","TE","17.1","1","17.1"
"64","Justin Tucker","BAL","K","17.0","1","17.0"
"64","Adam Thielen","MIN","WR","17.0","1","17.0"
"66","Clyde Edwards-Helaire","KC","RB","16.9","1","16.9"
"66","Baker Mayfield","CLE","QB","16.9","1","16.9"
"68","Russell Wilson","SEA","QB","16.6","1","16.6"
"69","Daniel Jones","NYG","QB","16.5","1","16.5"
"70","A.J. Green","ARI","WR","16.2","1","16.2"
"70","Chris Carson","SEA","RB","16.2","1","16.2"
"70","Cordarrelle Patterson","ATL","RB","16.2","1","16.2"
"73","Brandon McManus","DEN","K","16.0","1","16.0"
"73","Mason Crosby","GB","K","16.0","1","16.0"
"73","Cleveland Browns","CLE","DST","16.0","1","16.0"
"76","Mark Andrews","BAL","TE","15.9","1","15.9"
"77","Jimmy Garoppolo","SF","QB","15.7","1","15.7"
"78","Matt Ryan","ATL","QB","15.6","1","15.6"
"79","Zach Ertz","Multi","TE","15.3","1","15.3"
"80","Ben Roethlisberger","PIT","QB","15.2","1","15.2"
"80","Melvin Gordon III","DEN","RB","15.2","1","15.2"
"82","Kyle Juszczyk","SF","RB","15.1","1","15.1"
"83","Tyler Higbee","LAR","TE","15.0","1","15.0"
"84","Marquez Valdes-Scantling","GB","WR","14.9","1","14.9"
"84","Dawson Knox","BUF","TE","14.9","1","14.9"
"86","Tim Patrick","DEN","WR","14.8","1","14.8"
"87","Jamaal Williams","DET","RB","14.7","1","14.7"
"88","Mac Jones","NE","QB","14.6","1","14.6"
"89","Chase Edmonds","ARI","RB","14.5","1","14.5"
"89","Brandon Aiyuk","SF","WR","14.5","1","14.5"
"91","Marquez Callaway","NO","WR","14.1","1","14.1"
"91","Calvin Ridley","ATL","WR","14.1","1","14.1"
"93","Tyler Bass","BUF","K","14.0","1","14.0"
"94","D.J. Chark Jr.","JAC","WR","13.9","1","13.9"
"95","Odell Beckham Jr.","Multi","WR","13.7","1","13.7"
