"Rank","Player","Team","Position","Points","Games","Avg"
"1","Amari Cooper","DAL","WR","38.9","1","38.9"
"2","Tyreek Hill","KC","WR","37.1","1","37.1"
"3","Kyler Murray","ARI","QB","34.6","1","34.6"
"4","Patrick Mahomes II","KC","QB","33.3","1","33.3"
"5","Deebo Samuel","SF","WR","31.9","1","31.9"
"6","Adam Thielen","MIN","WR","30.2","1","30.2"
"7","Jared Goff","DET","QB","29.9","1","29.9"
"8","Jameis Winston","NO","QB","29.6","1","29.6"
"9","Tom Brady","TB","QB","29.2","1","29.2"
"10","Rob Gronkowski","TB","TE","29.0","1","29.0"
"11","Jalen Hurts","PHI","QB","28.8","1","28.8"
"12","Dak Prescott","DAL","QB","28.4","1","28.4"
"13","Christian McCaffrey","CAR","RB","27.7","1","27.7"
"14","Russell Wilson","SEA","QB","27.1","1","27.1"
"15","Corey Davis","NYJ","WR","26.7","1","26.7"
"16","Darren Waller","LV","TE","26.5","1","26.5"
"17","DeAndre Hopkins","ARI","WR","26.3","1","26.3"
"18","Tyler Lockett","SEA","WR","26.0","1","26.0"
"19","T.J. Hockenson","DET","TE","25.7","1","25.7"
"20","Travis Kelce","KC","TE","25.6","1","25.6"
"21","Jamaal Williams","DET","RB","25.0","1","25.0"
"21","Joe Mixon","CIN","RB","25.0","1","25.0"
"21","Derek Carr","LV","QB","25.0","1","25.0"
"24","D'Andre Swift","DET","RB","24.4","1","24.4"
"25","Sterling Shepard","NYG","WR","24.3","1","24.3"
"25","Matthew Stafford","LAR","QB","24.3","1","24.3"
"27","Christian Kirk","ARI","WR","24.0","1","24.0"
"28","Cooper Kupp","LAR","WR","23.8","1","23.8"
"29","Antonio Brown","TB","WR","23.7","1","23.7"
"30","Tyrod Taylor","HOU","QB","23.6","1","23.6"
"31","Chris Godwin","TB","WR","23.5","1","23.5"
"32","CeeDee Lamb","DAL","WR","23.4","1","23.4"
"33","Mike Williams","LAC","WR","22.2","1","22.2"
"34","Nick Chubb","CLE","RB","22.1","1","22.1"
"34","Trevor Lawrence","JAC","QB","22.1","1","22.1"
"36","Kirk Cousins","MIN","QB","22.0","1","22.0"
"37","Daniel Jones","NYG","QB","21.4","1","21.4"
"38","Ja'Marr Chase","CIN","WR","20.9","1","20.9"
"39","Melvin Gordon III","DEN","RB","20.8","1","20.8"
"40","Teddy Bridgewater","DEN","QB","20.5","1","20.5"
"41","Dalvin Cook","MIN","RB","20.4","1","20.4"
"42","Zach Pascal","IND","WR","20.3","1","20.3"
"43","Jarvis Landry","CLE","WR","19.4","1","19.4"
