"Rank","Player","Team","Position","Points","Games","Avg"
"106","Evan McPherson","CIN","K","11.0","1","11.0"
"109","Durham Smythe","MIA","TE","10.9","1","10.9"
"109","Darren Waller","LV","TE","10.9","1","10.9"
"109","DJ Moore","CAR","WR","10.9","1","10.9"
"109","Ben Roethlisberger","PIT","QB","10.9","1","10.9"
"109","Devontae Booker","NYG","RB","10.9","1","10.9"
"114","Kareem Hunt","CLE","RB","10.8","1","10.8"
"115","C.J. Uzomah","CIN","TE","10.5","1","10.5"
"115","Amari Cooper","DAL","WR","10.5","1","10.5"
"115","Hunter Henry","NE","TE","10.5","1","10.5"
"118","Taylor Heinicke","WAS","QB","10.3","1","10.3"
"118","Melvin Gordon III","DEN","RB","10.3","1","10.3"
"118","Geno Smith","SEA","QB","10.3","1","10.3"
"121","Mack Hollins","MIA","WR","10.1","1","10.1"
"121","Tyler Conklin","MIN","TE","10.1","1","10.1"
"121","Mark Ingram II","Multi","RB","10.1","1","10.1"
"121","Robby Anderson","CAR","WR","10.1","1","10.1"
"125","Keenan Allen","LAC","WR","10.0","1","10.0"
"125","DeeJay Dallas","SEA","RB","10.0","1","10.0"
"125","Jason Myers","SEA","K","10.0","1","10.0"
"125","Minnesota Vikings","MIN","DST","10.0","1","10.0"
"125","Greg Joseph","MIN","K","10.0","1","10.0"
"125","Dustin Hopkins","Multi","K","10.0","1","10.0"
"131","Mo Alie-Cox","IND","TE","9.8","1","9.8"
"131","Dante Pettis","NYG","WR","9.8","1","9.8"
"131","Javonte Williams","DEN","RB","9.8","1","9.8"
"134","Kalif Raymond","DET","WR","9.7","1","9.7"
"135","Amon-Ra St. Brown","DET","WR","9.6","1","9.6"
"136","Austin Ekeler","LAC","RB","9.5","1","9.5"
"137","Quez Watkins","PHI","WR","9.4","1","9.4"
"138","Allen Robinson II","CHI","WR","9.3","1","9.3"
"138","Tony Pollard","DAL","RB","9.3","1","9.3"
"138","Chris Godwin","TB","WR","9.3","1","9.3"
"138","Devin Singletary","BUF","RB","9.3","1","9.3"
"142","Jared Goff","DET","QB","9.2","1","9.2"
"143","Eric Ebron","PIT","TE","9.1","1","9.1"
"144","Zane Gonzalez","CAR","K","9.0","1","9.0"
"144","Harrison Butker","KC","K","9.0","1","9.0"
"144","Carolina Panthers","CAR","DST","9.0","1","9.0"
"147","Julio Jones","TEN","WR","8.9","1","8.9"
"147","Cole Kmet","CHI","TE","8.9","1","8.9"
"149","Mecole Hardman","KC","WR","8.8","1","8.8"
"149","Will Dissly","SEA","TE","8.8","1","8.8"
"151","Bryan Edwards","LV","WR","8.7","1","8.7"
"151","Kendall Hinton","DEN","WR","8.7","1","8.7"
"153","Tyler Higbee","LAR","TE","8.6","1","8.6"
"153","Elijhaa Penny","NYG","RB","8.6","1","8.6"
"153","Miles Sanders","PHI","RB","8.6","1","8.6"
"156","Byron Pringle","KC","WR","8.5","1","8.5"
"157","Nico Collins","HOU","WR","8.4","1","8.4"
"158","Davis Mills","HOU","QB","8.2","1","8.2"
"158","Cedrick Wilson Jr.","DAL","WR","8.2","1","8.2"
"160","Jordan Akins","HOU","TE","8.1","1","8.1"
"160","James Conner","ARI","RB","8.1","1","8.1"
"162","Jason Sanders","MIA","K","8.0","1","8.0"
"162","Michael Badgley","Multi","K","8.0","1","8.0"
"162","Washington Football Team","WAS","DST","8.0","1","8.0"
"162","Chase Edmonds","ARI","RB","8.0","1","8.0"
"162","Matt Gay","LAR","K","8.0","1","8.0"
"162","Kansas City Chiefs","KC","DST","8.0","1","8.0"
