"Rank","Player","Team","Position","Points","Games","Avg"
"81","Tyler Boyd","CIN","WR","12.3","1","12.3"
"82","Dustin Hopkins","Multi","K","12.0","1","12.0"
"82","Tampa Bay Buccaneers","TB","DST","12.0","1","12.0"
"84","Tyler Huntley","BAL","QB","11.8","1","11.8"
"84","James Robinson","JAC","RB","11.8","1","11.8"
"84","A.J. Green","ARI","WR","11.8","1","11.8"
"87","Josiah Deguara","GB","TE","11.7","1","11.7"
"88","Saquon Barkley","NYG","RB","11.6","1","11.6"
"89","Eric Ebron","PIT","TE","11.4","1","11.4"
"89","Tre'Quan Smith","NO","WR","11.4","1","11.4"
"89","Mac Jones","NE","QB","11.4","1","11.4"
"92","Dalton Schultz","DAL","TE","11.3","1","11.3"
"93","Dallas Goedert","PHI","TE","11.2","1","11.2"
"94","T.J. Hockenson","DET","TE","11.1","1","11.1"
"94","Pat Freiermuth","PIT","TE","11.1","1","11.1"
"94","Josh Jacobs","LV","RB","11.1","1","11.1"
"97","Kadarius Toney","NYG","WR","11.0","1","11.0"
"97","Michael Badgley","Multi","K","11.0","1","11.0"
"97","Ka'imi Fairbairn","HOU","K","11.0","1","11.0"
"97","Philadelphia Eagles","PHI","DST","11.0","1","11.0"
"97","San Francisco 49ers","SF","DST","11.0","1","11.0"
"97","Justin Tucker","BAL","K","11.0","1","11.0"
"103","DeVonta Smith","PHI","WR","10.1","1","10.1"
"104","Greg Zuerlein","DAL","K","10.0","1","10.0"
"104","Cincinnati Bengals","CIN","DST","10.0","1","10.0"
"104","Mike Gesicki","MIA","TE","10.0","1","10.0"
"104","Indianapolis Colts","IND","DST","10.0","1","10.0"
"104","Greg Joseph","MIN","K","10.0","1","10.0"
"104","Carson Wentz","IND","QB","10.0","1","10.0"
"110","Cam Sims","WAS","WR","9.9","1","9.9"
"110","Russell Gage","ATL","WR","9.9","1","9.9"
"110","DeAndre Carter","WAS","WR","9.9","1","9.9"
"110","Baker Mayfield","CLE","QB","9.9","1","9.9"
"114","A.J. Brown","TEN","WR","9.8","1","9.8"
"115","DeeJay Dallas","SEA","RB","9.7","1","9.7"
"115","Daniel Jones","NYG","QB","9.7","1","9.7"
"117","Marquez Callaway","NO","WR","9.6","1","9.6"
"117","Derek Carr","LV","QB","9.6","1","9.6"
"119","Michael Gallup","DAL","WR","9.4","1","9.4"
"120","Ronald Jones II","TB","RB","9.3","1","9.3"
"120","Austin Hooper","CLE","TE","9.3","1","9.3"
"122","Marvin Jones Jr.","JAC","WR","9.2","1","9.2"
"123","Chicago Bears","CHI","DST","9.0","1","9.0"
"123","Tony Pollard","DAL","RB","9.0","1","9.0"
"123","Detroit Lions","DET","DST","9.0","1","9.0"
"123","Baltimore Ravens","BAL","DST","9.0","1","9.0"
"123","Joe Burrow","CIN","QB","9.0","1","9.0"
"123","Joey Slye","Multi","K","9.0","1","9.0"
"123","Harrison Butker","KC","K","9.0","1","9.0"
"123","Mason Crosby","GB","K","9.0","1","9.0"
"131","Foster Moreau","LV","TE","8.9","1","8.9"
"131","Kendrick Bourne","NE","WR","8.9","1","8.9"
"133","Trevor Lawrence","JAC","QB","8.6","1","8.6"
"134","Rhamondre Stevenson","NE","RB","8.5","1","8.5"
"134","Russell Wilson","SEA","QB","8.5","1","8.5"
"134","Patrick Mahomes II","KC","QB","8.5","1","8.5"
"137","Antoine Wesley","ARI","WR","8.4","1","8.4"
"138","Daniel Carlson","LV","K","8.0","1","8.0"
"138","Robby Anderson","CAR","WR","8.0","1","8.0"
"138","Arizona Cardinals","ARI","DST","8.0","1","8.0"
"138","Cleveland Browns","CLE","DST","8.0","1","8.0"
"138","Laviska Shenault Jr.","JAC","WR","8.0","1","8.0"
"138","Dallas Cowboys","DAL","DST","8.0","1","8.0"
"144","Jakobi Meyers","NE","WR","7.9","1","7.9"
"145","Sammy Watkins","BAL","WR","7.8","1","7.8"
"145","Donald Parham Jr.","LAC","TE","7.8","1","7.8"
"147","Chris Conley","HOU","WR","7.7","1","7.7"
"147","Devin Duvernay","BAL","WR","7.7","1","7.7"
"147","David Montgomery","CHI","RB","7.7","1","7.7"
"147","Durham Smythe","MIA","TE","7.7","1","7.7"
"147","Matt Breida","BUF","RB","7.7","1","7.7"
"152","Anthony Firkser","TEN","TE","7.6","1","7.6"
"152","Cedrick Wilson Jr.","DAL","WR","7.6","1","7.6"
"154","Antonio Gibson","WAS","RB","7.5","1","7.5"
"154","Hunter Renfrow","LV","WR","7.5","1","7.5"
"154","Damien Harris","NE","RB","7.5","1","7.5"
"154","Michael Carter","NYJ","RB","7.5","1","7.5"
"158","Miles Sanders","PHI","RB","7.4","1","7.4"
"158","Lil'Jordan Humphrey","NO","WR","7.4","1","7.4"
"158","Equanimeous St. Brown","GB","WR","7.4","1","7.4"
"161","Devin Singletary","BUF","RB","7.3","1","7.3"
"162","D.K. Metcalf","SEA","WR","7.1","1","7.1"
"163","Jason Myers","SEA","K","7.0","1","7.0"
"163","Matt Prater","ARI","K","7.0","1","7.0"
"165","Ryan Griffin","NYJ","TE","6.9","1","6.9"
"166","Jeff Wilson Jr.","SF","RB","6.8","1","6.8"
"167","Gerald Everett","SEA","TE","6.7","1","6.7"
"168","Ja'Marcus Bradley","CLE","WR","6.6","1","6.6"
"169","Corey Davis","NYJ","WR","6.5","1","6.5"
"169","Trey Sermon","SF","RB","6.5","1","6.5"
"169","Tyler Conklin","MIN","TE","6.5","1","6.5"
"172","Adrian Peterson","Multi","RB","6.4","1","6.4"
"172","David Johnson","HOU","RB","6.4","1","6.4"
"174","Cole Beasley","BUF","WR","6.3","1","6.3"
"174","Jordan Howard","PHI","RB","6.3","1","6.3"
"176","Chester Rogers","TEN","WR","6.1","1","6.1"
"177","Jack Doyle","IND","TE","6.0","1","6.0"
"177","J.D. McKissic","WAS","RB","6.0","1","6.0"
"177","Atlanta Falcons","ATL","DST","6.0","1","6.0"
"177","Jason Sanders","MIA","K","6.0","1","6.0"
"181","Rashod Bateman","BAL","WR","5.9","1","5.9"
"181","Kyle Pitts","ATL","TE","5.9","1","5.9"
"183","Jared Cook","LAC","TE","5.8","1","5.8"
"183","Amon-Ra St. Brown","DET","WR","5.8","1","5.8"
"185","Darius Slayton","NYG","WR","5.7","1","5.7"
"186","Emmanuel Sanders","BUF","WR","5.6","1","5.6"
"187","Tommy Tremble","CAR","TE","5.5","1","5.5"
"188","Qadree Ollison","ATL","RB","5.4","1","5.4"
"189","Olamide Zaccheaus","ATL","WR","5.3","1","5.3"
"189","John Bates","WAS","TE","5.3","1","5.3"
"189","Latavius Murray","BAL","RB","5.3","1","5.3"
"192","Samaje Perine","CIN","RB","5.1","1","5.1"
"192","Mike Davis","ATL","RB","5.1","1","5.1"
"194","Matt Ammendola","NYJ","K","5.0","1","5.0"
"194","Miami Dolphins","MIA","DST","5.0","1","5.0"
"194","Adam Humphries","WAS","WR","5.0","1","5.0"
"194","D'Onta Foreman","TEN","RB","5.0","1","5.0"
"194","Carolina Panthers","CAR","DST","5.0","1","5.0"
"194","Jamal Agnew","JAC","WR","5.0","1","5.0"
"194","Aldrick Rosas","Multi","K","5.0","1","5.0"
"194","Brett Maher","NO","K","5.0","1","5.0"
"202","Gabriel Davis","BUF","WR","4.7","1","4.7"
"202","Cameron Brate","TB","TE","4.7","1","4.7"
"202","Byron Pringle","KC","WR","4.7","1","4.7"
"205","T.Y. Hilton","IND","WR","4.6","1","4.6"
"205","Dak Prescott","DAL","QB","4.6","1","4.6"
"207","Albert Wilson","MIA","WR","4.5","1","4.5"
"207","Jimmy Graham","CHI","TE","4.5","1","4.5"
"207","Mecole Hardman","KC","WR","4.5","1","4.5"
"207","Christian Kirk","ARI","WR","4.5","1","4.5"
"207","Hunter Henry","NE","TE","4.5","1","4.5"
"212","CeeDee Lamb","DAL","WR","4.4","1","4.4"
"213","Michael Pittman Jr.","IND","WR","4.3","1","4.3"
"214","Tajae Sharpe","ATL","WR","4.1","1","4.1"
"214","David Njoku","CLE","TE","4.1","1","4.1"
"214","Matt Ryan","ATL","QB","4.1","1","4.1"
"217","Las Vegas Raiders","LV","DST","4.0","1","4.0"
"217","Matthew Wright","JAC","K","4.0","1","4.0"
"217","New Orleans Saints","NO","DST","4.0","1","4.0"
"217","Rex Burkhead","HOU","RB","4.0","1","4.0"
"217","Graham Gano","NYG","K","4.0","1","4.0"
"222","Kenyan Drake","LV","RB","3.9","1","3.9"
"223","Kyle Rudolph","NYG","TE","3.8","1","3.8"
"223","Brandin Cooks","HOU","WR","3.8","1","3.8"
"223","Boston Scott","PHI","RB","3.8","1","3.8"
"226","Ray-Ray McCloud","PIT","WR","3.7","1","3.7"
"227","Brandon Bolden","NE","RB","3.6","1","3.6"
"227","Darrel Williams","KC","RB","3.6","1","3.6"
"227","Alex Collins","SEA","RB","3.6","1","3.6"
"227","Breshad Perriman","TB","WR","3.6","1","3.6"
"231","Justin Fields","CHI","QB","3.5","1","3.5"
"231","Tee Higgins","CIN","WR","3.5","1","3.5"
"233","N'Keal Harry","NE","WR","3.4","1","3.4"
"234","J.J. Arcega-Whiteside","PHI","WR","3.3","1","3.3"
"234","Joshua Palmer","LAC","WR","3.3","1","3.3"
"236","Evan Engram","NYG","TE","3.2","1","3.2"
"236","James Washington","PIT","WR","3.2","1","3.2"
"238","Nyheim Hines","IND","RB","3.1","1","3.1"
"238","Deonte Harty","NO","WR","3.1","1","3.1"
"240","Eno Benjamin","ARI","RB","3.0","1","3.0"
"240","Zay Jones","LV","WR","3.0","1","3.0"
"240","Jalen Guyton","LAC","WR","3.0","1","3.0"
"240","Nick Bawden","NYJ","RB","3.0","1","3.0"
"240","Zane Gonzalez","CAR","K","3.0","1","3.0"
"240","Nick Vannett","NO","TE","3.0","1","3.0"
"240","Devontae Booker","NYG","RB","3.0","1","3.0"
"240","Pharaoh Brown","HOU","TE","3.0","1","3.0"
"248","Keith Smith","ATL","RB","2.9","1","2.9"
"248","C.J. Uzomah","CIN","TE","2.9","1","2.9"
"248","K.J. Osborn","MIN","WR","2.9","1","2.9"
"248","Adam Shaheen","MIA","TE","2.9","1","2.9"
"252","Tevin Coleman","NYJ","RB","2.8","1","2.8"
"253","Jakeem Grant Sr.","Multi","WR","2.7","1","2.7"
"253","Jonnu Smith","NE","TE","2.7","1","2.7"
"253","Rashard Higgins","CLE","WR","2.7","1","2.7"
"256","D'Ernest Johnson","CLE","RB","2.6","1","2.6"
"256","Will Dissly","SEA","TE","2.6","1","2.6"
"258","Randall Cobb","GB","WR","2.5","1","2.5"
"259","Ty Johnson","NYJ","RB","2.3","1","2.3"
"259","Jaret Patterson","WAS","RB","2.3","1","2.3"
"261","Mike Thomas","CIN","WR","2.2","1","2.2"
"261","Cole Kmet","CHI","TE","2.2","1","2.2"
"261","Brock Wright","DET","TE","2.2","1","2.2"
"261","Kenny Golladay","NYG","WR","2.2","1","2.2"
"265","Laquon Treadwell","JAC","WR","2.1","1","2.1"
"265","Malik Turner","DAL","WR","2.1","1","2.1"
"267","New York Jets","NYJ","DST","2.0","1","2.0"
"267","Pittsburgh Steelers","PIT","DST","2.0","1","2.0"
"267","Chris Moore","HOU","WR","2.0","1","2.0"
"267","New York Giants","NYG","DST","2.0","1","2.0"
"267","Seattle Seahawks","SEA","DST","2.0","1","2.0"
"267","O.J. Howard","TB","TE","2.0","1","2.0"
"273","Nico Collins","HOU","WR","1.9","1","1.9"
"273","Patrick Laird","MIA","RB","1.9","1","1.9"
"273","Dwayne Washington","NO","RB","1.9","1","1.9"
"273","Rashaad Penny","SEA","RB","1.9","1","1.9"
"277","Noah Gray","KC","TE","1.8","1","1.8"
"277","Blake Bell","KC","TE","1.8","1","1.8"
"277","Duke Johnson Jr.","MIA","RB","1.8","1","1.8"
"277","Tyler Johnson","TB","WR","1.8","1","1.8"
"277","Kylen Granson","IND","TE","1.8","1","1.8"
"277","Dominique Dafney","GB","TE","1.8","1","1.8"
"283","Reggie Gilliam","BUF","RB","1.7","1","1.7"
"283","Josh Gordon","KC","WR","1.7","1","1.7"
"283","Dede Westbrook","MIN","WR","1.7","1","1.7"
"283","Brandon Zylstra","CAR","WR","1.7","1","1.7"
"283","Brevin Jordan","HOU","TE","1.7","1","1.7"
"283","Ian Thomas","CAR","TE","1.7","1","1.7"
"283","Tre' McKitty","LAC","TE","1.7","1","1.7"
"283","Chris Evans","CIN","RB","1.7","1","1.7"
"283","Kyle Juszczyk","SF","RB","1.7","1","1.7"
"292","Colby Parkinson","SEA","TE","1.6","1","1.6"
"292","John Ross","NYG","WR","1.6","1","1.6"
"294","Parker Hesse","ATL","TE","1.5","1","1.5"
"294","Dax Milne","WAS","WR","1.5","1","1.5"
"296","Jauan Jennings","SF","WR","1.4","1","1.4"
"297","Stanley Morgan Jr.","CIN","WR","1.3","1","1.3"
"297","Jaelon Darden","TB","WR","1.3","1","1.3"
"297","Drew Sample","CIN","TE","1.3","1","1.3"
"297","Giovani Bernard","TB","RB","1.3","1","1.3"
"297","Damiere Byrd","CHI","WR","1.3","1","1.3"
"302","Sean McKeon","DAL","TE","1.2","1","1.2"
"302","Deon Jackson","IND","RB","1.2","1","1.2"
"304","Tim Boyle","DET","QB","1.1","1","1.1"
"304","Jamaal Williams","DET","RB","1.1","1","1.1"
"304","Patrick Taylor Jr.","GB","RB","1.1","1","1.1"
"307","Cairo Santos","CHI","K","1.0","1","1.0"
"307","Tyler Bass","BUF","K","1.0","1","1.0"
"307","Washington Football Team","WAS","DST","1.0","1","1.0"
"307","Green Bay Packers","GB","DST","1.0","1","1.0"
"307","Jacksonville Jaguars","JAC","DST","1.0","1","1.0"
"307","Minnesota Vikings","MIN","DST","1.0","1","1.0"
"307","Chase McLaughlin","CLE","K","1.0","1","1.0"
"307","Randy Bullock","TEN","K","1.0","1","1.0"
"315","Zach Pascal","IND","WR","0.9","1","0.9"
"315","Sam Ehlinger","IND","QB","0.9","1","0.9"
"315","Jalen Reagor","PHI","WR","0.9","1","0.9"
"318","Tavon Austin","JAC","WR","0.8","1","0.8"
"319","Benny Snell Jr.","PIT","RB","0.7","1","0.7"
"320","Ameer Abdullah","Multi","RB","0.6","1","0.6"
"320","Godwin Igwebuike","DET","RB","0.6","1","0.6"
"322","Zack Moss","BUF","RB","0.5","1","0.5"
"322","Larry Rountree III","LAC","RB","0.5","1","0.5"
"322","Alexander Mattison","MIN","RB","0.5","1","0.5"
"325","Travis Homer","SEA","RB","0.4","1","0.4"
"325","Ke'Shawn Vaughn","TB","RB","0.4","1","0.4"
"325","DeSean Jackson","Multi","WR","0.4","1","0.4"
"325","Andre Roberts","Multi","WR","0.4","1","0.4"
"325","Trey Lance","SF","QB","0.4","1","0.4"
"330","Kalen Ballage","PIT","RB","0.3","1","0.3"
"330","Peyton Barber","LV","RB","0.3","1","0.3"
"332","Tony Jones Jr.","NO","RB","0.2","1","0.2"
"332","Patrick Ricard","BAL","RB","0.2","1","0.2"
"332","Justin Jackson","LAC","RB","0.2","1","0.2"
"332","Blaine Gabbert","TB","QB","0.2","1","0.2"
"332","Demetric Felton","CLE","RB","0.2","1","0.2"
"337","Chris Myarick","NYG","TE","0.0","1","0.0"
"337","Jeremy Sprinkle","DAL","TE","0.0","1","0.0"
"337","Ryan Nall","CHI","RB","0.0","1","0.0"
"337","Allen Hurns","MIA","WR","0.0","1","0.0"
"337","Marcus Johnson","TEN","WR","0.0","1","0.0"
"337","Garrett Griffin","NO","TE","0.0","1","0.0"
"337","Pharoh Cooper","NYG","WR","0.0","1","0.0"
"337","Kene Nwangwu","MIN","RB","0.0","1","0.0"
"337","Dezmon Patmon","IND","WR","0.0","1","0.0"
"337","Daurice Fountain","KC","WR","0.0","1","0.0"
"337","Clark Harris","CIN","TE","0.0","1","0.0"
"337","Tyree Jackson","PHI","TE","0.0","1","0.0"
"337","Elijah McGuire","KC","RB","0.0","1","0.0"
"337","Nick Boyle","BAL","TE","0.0","1","0.0"
"337","John Brown","Multi","WR","0.0","1","0.0"
"337","Anthony McFarland Jr.","PIT","RB","0.0","1","0.0"
"337","Gunner Olszewski","NE","WR","0.0","1","0.0"
"337","Darrell Daniels","ARI","TE","0.0","1","0.0"
"337","Alex Erickson","CAR","WR","0.0","1","0.0"
"337","Corey Clement","DAL","RB","0.0","1","0.0"
"337","Terrace Marshall Jr.","CAR","WR","0.0","1","0.0"
"337","Bryan Edwards","LV","WR","0.0","1","0.0"
"337","Gary Brightwell","NYG","RB","0.0","1","0.0"
"337","Mo Alie-Cox","IND","TE","0.0","1","0.0"
"337","Freddie Swain","SEA","WR","0.0","1","0.0"
"337","Demarcus Robinson","KC","WR","0.0","1","0.0"
"337","Khalil Herbert","CHI","RB","0.0","1","0.0"
"337","Tennessee Titans","TEN","DST","0.0","1","0.0"
"337","Carlos Hyde","JAC","RB","0.0","1","0.0"
"337","Justin Hardee","NYJ","WR","0.0","1","0.0"
"337","Trent Sherfield","SF","WR","0.0","1","0.0"
"337","Ty Long","LAC","K","0.0","1","0.0"
"337","Braxton Berrios","NYJ","WR","0.0","1","0.0"
"337","Danny Amendola","HOU","WR","0.0","1","0.0"
"337","C.J. Ham","MIN","RB","0.0","1","0.0"
"337","Gerrid Doaks","MIA","RB","0.0","1","0.0"
"337","Lee Smith","ATL","TE","0.0","1","0.0"
"337","Matthew Slater","NE","WR","0.0","1","0.0"
"337","Alex Armah Jr.","Multi","RB","0.0","1","0.0"
"337","Josh Reynolds","Multi","WR","0.0","1","0.0"
"337","Tommy Hudson","TEN","TE","0.0","1","0.0"
"337","Cethan Carter","MIA","TE","0.0","1","0.0"
"337","Preston Williams","MIA","WR","0.0","1","0.0"
"337","Jack Stoll","PHI","TE","0.0","1","0.0"
"337","Jakob Johnson","NE","RB","0.0","1","0.0"
"337","Tommy Sweeney","BUF","TE","0.0","1","0.0"
"337","Keelan Cole Sr.","NYJ","WR","0.0","1","0.0"
"337","Jerick McKinnon","KC","RB","0.0","1","0.0"
"337","Noah Brown","DAL","WR","0.0","1","0.0"
"337","Collin Johnson","NYG","WR","0.0","1","0.0"
"337","Tory Carter","TEN","RB","0.0","1","0.0"
"337","Quez Watkins","PHI","WR","0.0","1","0.0"
"337","Trenton Cannon","Multi","RB","0.0","1","0.0"
"337","Eric Tomlinson","BAL","TE","0.0","1","0.0"
"337","Dan Arnold","Multi","TE","0.0","1","0.0"
"337","Younghoe Koo","ATL","K","0.0","1","0.0"
"337","Penny Hart","SEA","WR","0.0","1","0.0"
"337","Harrison Bryant","CLE","TE","0.0","1","0.0"
"337","Amari Rodgers","GB","WR","0.0","1","0.0"
"337","Kalif Raymond","DET","WR","0.0","1","0.0"
"337","Ashton Dulin","IND","WR","0.0","1","0.0"
"398","Jordan Love","GB","QB","-0.1","1","-0.1"
"399","Mitchell Trubisky","BUF","QB","-0.2","1","-0.2"
"400","Wayne Gallman Jr.","Multi","RB","-0.3","1","-0.3"
"400","Phillip Lindsay","Multi","RB","-0.3","1","-0.3"
"402","Josh Rosen","ATL","QB","-0.8","1","-0.8"
"403","Los Angeles Chargers","LAC","DST","-1.0","1","-1.0"
"403","Feleipe Franks","ATL","QB","-1.0","1","-1.0"
"405","Isaiah McKenzie","BUF","WR","-2.0","1","-2.0"
"406","Buffalo Bills","BUF","DST","-4.0","1","-4.0"
""
""
