"Rank","Player","Team","Position","Points","Games","Avg"
"1","Jonathan Taylor","IND","RB","53.4","1","53.4"
"2","Austin Ekeler","LAC","RB","41.5","1","41.5"
"3","Justin Jefferson","MIN","WR","37.2","1","37.2"
"4","Justin Herbert","LAC","QB","35.3","1","35.3"
"5","Aaron Rodgers","GB","QB","33.5","1","33.5"
"6","Jalen Hurts","PHI","QB","30.8","1","30.8"
"7","Davante Adams","GB","WR","30.5","1","30.5"
"8","Elijah Moore","NYJ","WR","29.6","1","29.6"
"9","Zach Ertz","Multi","TE","28.8","1","28.8"
"10","New England Patriots","NE","DST","28.0","1","28.0"
"11","Trevor Siemian","NO","QB","26.2","1","26.2"
"11","Cam Newton","CAR","QB","26.2","1","26.2"
"13","Kirk Cousins","MIN","QB","25.2","1","25.2"
"14","Christian McCaffrey","CAR","RB","24.9","1","24.9"
"15","Joe Mixon","CIN","RB","24.3","1","24.3"
"16","Darnell Mooney","CHI","WR","23.1","1","23.1"
"16","Taylor Heinicke","WAS","QB","23.1","1","23.1"
"16","Diontae Johnson","PIT","WR","23.1","1","23.1"
"19","Colt McCoy","ARI","QB","22.9","1","22.9"
"19","Ben Roethlisberger","PIT","QB","22.9","1","22.9"
"21","D'Andre Swift","DET","RB","22.6","1","22.6"
"22","Dalvin Cook","MIN","RB","22.5","1","22.5"
"23","Nick Chubb","CLE","RB","22.4","1","22.4"
"24","Marquez Valdes-Scantling","GB","WR","22.3","1","22.3"
"25","Adam Thielen","MIN","WR","22.2","1","22.2"
"26","Brandon Aiyuk","SF","WR","21.5","1","21.5"
"27","Terry McLaurin","WAS","WR","21.3","1","21.3"
"28","Evan McPherson","CIN","K","21.0","1","21.0"
"29","James Conner","ARI","RB","20.9","1","20.9"
"30","Mike Williams","LAC","WR","20.7","1","20.7"
"31","Jaylen Waddle","MIA","WR","20.6","1","20.6"
"32","Marquise Goodwin","CHI","WR","20.4","1","20.4"
"33","Tom Brady","TB","QB","20.3","1","20.3"
"33","Mike Evans","TB","WR","20.3","1","20.3"
"35","Keenan Allen","LAC","WR","20.2","1","20.2"
"36","Devonta Freeman","BAL","RB","20.0","1","20.0"
"36","Tyreek Hill","KC","WR","20.0","1","20.0"
"38","Chris Godwin","TB","WR","19.2","1","19.2"
"39","Tyrod Taylor","HOU","QB","19.1","1","19.1"
"40","Jake Elliott","PHI","K","19.0","1","19.0"
"41","Travis Kelce","KC","TE","18.8","1","18.8"
"42","Darren Waller","LV","TE","18.6","1","18.6"
"42","Myles Gaskin","MIA","RB","18.6","1","18.6"
"44","Tua Tagovailoa","MIA","QB","18.5","1","18.5"
"45","Stefon Diggs","BUF","WR","18.3","1","18.3"
"46","Josh Allen","BUF","QB","18.2","1","18.2"
"47","Joe Flacco","NYJ","QB","17.9","1","17.9"
"48","Nick Westbrook-Ikhine","TEN","WR","17.7","1","17.7"
"49","Najee Harris","PIT","RB","16.9","1","16.9"
"50","Adam Trautman","NO","TE","16.8","1","16.8"
"51","Jamison Crowder","NYJ","WR","16.4","1","16.4"
"51","Deebo Samuel","SF","WR","16.4","1","16.4"
"53","Dontrell Hilliard","TEN","RB","16.2","1","16.2"
"54","Rondale Moore","ARI","WR","16.1","1","16.1"
"55","Houston Texans","HOU","DST","16.0","1","16.0"
"55","Nick Folk","NE","K","16.0","1","16.0"
"55","Andy Dalton","CHI","QB","16.0","1","16.0"
"55","DJ Moore","CAR","WR","16.0","1","16.0"
"59","AJ Dillon","GB","RB","15.7","1","15.7"
"60","Clyde Edwards-Helaire","KC","RB","15.6","1","15.6"
"60","Jimmy Garoppolo","SF","QB","15.6","1","15.6"
"62","Tyler Lockett","SEA","WR","15.5","1","15.5"
"63","Mark Ingram II","Multi","RB","15.3","1","15.3"
"63","Mark Andrews","BAL","TE","15.3","1","15.3"
"65","Mack Hollins","MIA","WR","15.2","1","15.2"
"66","Nelson Agholor","NE","WR","15.0","1","15.0"
"66","Kansas City Chiefs","KC","DST","15.0","1","15.0"
"68","Chase Claypool","PIT","WR","14.4","1","14.4"
"69","Jarvis Landry","CLE","WR","14.2","1","14.2"
"70","Chris Boswell","PIT","K","14.0","1","14.0"
"70","Dawson Knox","BUF","TE","14.0","1","14.0"
"70","Robbie Gould","SF","K","14.0","1","14.0"
"73","George Kittle","SF","TE","13.4","1","13.4"
"73","Leonard Fournette","TB","RB","13.4","1","13.4"
"75","Ryan Tannehill","TEN","QB","13.2","1","13.2"
"76","Rob Gronkowski","TB","TE","13.1","1","13.1"
"77","Ja'Marr Chase","CIN","WR","13.0","1","13.0"
"77","Ryan Succop","TB","K","13.0","1","13.0"
"79","Ezekiel Elliott","DAL","RB","12.8","1","12.8"
"80","Dez Fitzpatrick","TEN","WR","12.5","1","12.5"
