"Rank","Player","Team","Position","Points","Games","Avg"
"1","Michael Carter","NYJ","RB","32.2","1","32.2"
"2","A.J. Brown","TEN","WR","31.5","1","31.5"
"3","Michael Pittman Jr.","IND","WR","30.6","1","30.6"
"4","Josh Allen","BUF","QB","29.5","1","29.5"
"5","Mike White","NYJ","QB","28.1","1","28.1"
"6","Chris Godwin","TB","WR","28.0","1","28.0"
"7","Tyreek Hill","KC","WR","27.4","1","27.4"
"8","Jimmy Garoppolo","SF","QB","27.3","1","27.3"
"9","Tom Brady","TB","QB","27.2","1","27.2"
"10","Justin Fields","CHI","QB","26.3","1","26.3"
"11","Tyler Lockett","SEA","WR","26.2","1","26.2"
"11","Amari Cooper","DAL","WR","26.2","1","26.2"
"13","Joe Mixon","CIN","RB","25.1","1","25.1"
"14","Cooper Kupp","LAR","WR","24.5","1","24.5"
"15","Austin Ekeler","LAC","RB","24.4","1","24.4"
"16","Matthew Stafford","LAR","QB","24.2","1","24.2"
"17","Aaron Jones","GB","RB","24.0","1","24.0"
"18","Ryan Tannehill","TEN","QB","23.2","1","23.2"
"19","Deebo Samuel","SF","WR","23.1","1","23.1"
"20","Geno Smith","SEA","QB","22.6","1","22.6"
"21","Darrell Henderson Jr.","LAR","RB","22.3","1","22.3"
"21","D.K. Metcalf","SEA","WR","22.3","1","22.3"
"23","Davis Mills","HOU","QB","21.4","1","21.4"
"24","Joe Burrow","CIN","QB","21.3","1","21.3"
"25","Jonathan Taylor","IND","RB","21.2","1","21.2"
"26","Philadelphia Eagles","PHI","DST","21.0","1","21.0"
"26","Cole Beasley","BUF","WR","21.0","1","21.0"
"26","Najee Harris","PIT","RB","21.0","1","21.0"
"29","Robert Woods","LAR","WR","20.7","1","20.7"
"30","Carson Wentz","IND","QB","20.3","1","20.3"
"30","Brandin Cooks","HOU","WR","20.3","1","20.3"
"32","Adam Thielen","MIN","WR","19.8","1","19.8"
"33","Keenan Allen","LAC","WR","19.7","1","19.7"
"33","Elijah Mitchell","SF","RB","19.7","1","19.7"
"33","Tyler Boyd","CIN","WR","19.7","1","19.7"
"36","Ty Johnson","NYJ","RB","19.6","1","19.6"
"37","Melvin Gordon III","DEN","RB","19.2","1","19.2"
"38","T.J. Hockenson","DET","TE","18.9","1","18.9"
"39","Cedrick Wilson Jr.","DAL","WR","18.8","1","18.8"
"40","Cooper Rush","DAL","QB","18.2","1","18.2"
"40","Cordarrelle Patterson","ATL","RB","18.2","1","18.2"
"42","Boston Scott","PHI","RB","18.0","1","18.0"
"43","Jordan Howard","PHI","RB","17.7","1","17.7"
"44","Devontae Booker","NYG","RB","17.5","1","17.5"
"45","J.D. McKissic","WAS","RB","17.3","1","17.3"
"46","CeeDee Lamb","DAL","WR","17.2","1","17.2"
"47","Daniel Jones","NYG","QB","17.1","1","17.1"
"48","Zane Gonzalez","CAR","K","17.0","1","17.0"
"48","Denver Broncos","DEN","DST","17.0","1","17.0"
"48","Darrel Williams","KC","RB","17.0","1","17.0"
"51","Alvin Kamara","NO","RB","16.6","1","16.6"
"52","DeVante Parker","MIA","WR","16.5","1","16.5"
"52","Randall Cobb","GB","WR","16.5","1","16.5"
"54","Jamison Crowder","NYJ","WR","16.4","1","16.4"
"55","Tua Tagovailoa","MIA","QB","16.2","1","16.2"
"56","Jake Elliott","PHI","K","16.0","1","16.0"
"56","Joey Slye","Multi","K","16.0","1","16.0"
"58","Chase Edmonds","ARI","RB","15.9","1","15.9"
"59","Jamal Agnew","JAC","WR","15.8","1","15.8"
"59","Justin Herbert","LAC","QB","15.8","1","15.8"
"59","Diontae Johnson","PIT","WR","15.8","1","15.8"
"62","Aaron Rodgers","GB","QB","15.7","1","15.7"
"63","Patrick Mahomes II","KC","QB","15.0","1","15.0"
"63","New Orleans Saints","NO","DST","15.0","1","15.0"
"63","Stefon Diggs","BUF","WR","15.0","1","15.0"
"63","Nick Folk","NE","K","15.0","1","15.0"
"67","Dan Arnold","Multi","TE","14.8","1","14.8"
"68","Ben Roethlisberger","PIT","QB","14.6","1","14.6"
"69","Pat Freiermuth","PIT","TE","14.4","1","14.4"
"70","James Conner","ARI","RB","14.2","1","14.2"
