"Rank","Player","Team","Position","Points","Games","Avg"
"1","Leonard Fournette","TB","RB","44.1","1","44.1"
"2","Joe Mixon","CIN","RB","32.3","1","32.3"
"3","Jaylen Waddle","MIA","WR","28.7","1","28.7"
"3","Josh Allen","BUF","QB","28.7","1","28.7"
"5","Elijah Mitchell","SF","RB","27.8","1","27.8"
"6","Cordarrelle Patterson","ATL","RB","27.5","1","27.5"
"7","Aaron Rodgers","GB","QB","26.3","1","26.3"
"8","Dak Prescott","DAL","QB","25.3","1","25.3"
"9","Antonio Gibson","WAS","RB","23.6","1","23.6"
"10","Tee Higgins","CIN","WR","23.4","1","23.4"
"11","Adam Thielen","MIN","WR","23.2","1","23.2"
"12","Kendrick Bourne","NE","WR","23.1","1","23.1"
"13","Miami Dolphins","MIA","DST","23.0","1","23.0"
"13","Matthew Stafford","LAR","QB","23.0","1","23.0"
"15","J.D. McKissic","WAS","RB","22.6","1","22.6"
"16","Carson Wentz","IND","QB","22.3","1","22.3"
"17","Austin Ekeler","LAC","RB","21.9","1","21.9"
"18","Justin Herbert","LAC","QB","21.7","1","21.7"
"19","Hunter Renfrow","LV","WR","21.6","1","21.6"
"20","Mac Jones","NE","QB","21.5","1","21.5"
"21","Daniel Carlson","LV","K","21.0","1","21.0"
"21","Derek Carr","LV","QB","21.0","1","21.0"
"21","Nick Folk","NE","K","21.0","1","21.0"
"24","Deebo Samuel","SF","WR","20.8","1","20.8"
"25","Stefon Diggs","BUF","WR","20.4","1","20.4"
"26","Javonte Williams","DEN","RB","20.1","1","20.1"
"26","Jack Doyle","IND","TE","20.1","1","20.1"
"28","AJ Dillon","GB","RB","20.0","1","20.0"
"29","Jonathan Taylor","IND","RB","19.7","1","19.7"
"30","Russell Wilson","SEA","QB","19.5","1","19.5"
"31","Rob Gronkowski","TB","TE","19.3","1","19.3"
"32","DeSean Jackson","Multi","WR","19.2","1","19.2"
"32","Josh Jacobs","LV","RB","19.2","1","19.2"
"32","Myles Gaskin","MIA","RB","19.2","1","19.2"
"35","Odell Beckham Jr.","Multi","WR","19.1","1","19.1"
"36","Cincinnati Bengals","CIN","DST","19.0","1","19.0"
"37","Cooper Kupp","LAR","WR","18.6","1","18.6"
"38","Diontae Johnson","PIT","WR","18.5","1","18.5"
"39","Davante Adams","GB","WR","18.4","1","18.4"
"40","Dontrell Hilliard","TEN","RB","18.3","1","18.3"
"40","Van Jefferson","LAR","WR","18.3","1","18.3"
"42","Russell Gage","ATL","WR","18.2","1","18.2"
"42","Dawson Knox","BUF","TE","18.2","1","18.2"
"44","Trevor Lawrence","JAC","QB","18.0","1","18.0"
"45","Randall Cobb","GB","WR","17.5","1","17.5"
"45","Darnell Mooney","CHI","WR","17.5","1","17.5"
"47","Joe Burrow","CIN","QB","17.4","1","17.4"
"47","Cedrick Wilson Jr.","DAL","WR","17.4","1","17.4"
"49","Darrell Henderson Jr.","LAR","RB","17.3","1","17.3"
"50","Denver Broncos","DEN","DST","17.0","1","17.0"
"51","Ezekiel Elliott","DAL","RB","16.9","1","16.9"
"52","Andy Dalton","CHI","QB","16.8","1","16.8"
"52","Tony Pollard","DAL","RB","16.8","1","16.8"
"54","Kirk Cousins","MIN","QB","16.5","1","16.5"
"54","Mark Andrews","BAL","TE","16.5","1","16.5"
"56","Tyrod Taylor","HOU","QB","16.3","1","16.3"
"57","Teddy Bridgewater","DEN","QB","16.2","1","16.2"
"58","Josh Reynolds","Multi","WR","16.0","1","16.0"
"59","Michael Gallup","DAL","WR","15.6","1","15.6"
"59","Dalton Schultz","DAL","TE","15.6","1","15.6"
"61","Keenan Allen","LAC","WR","15.5","1","15.5"
"62","Jarvis Landry","CLE","WR","15.1","1","15.1"
"62","Daniel Jones","NYG","QB","15.1","1","15.1"
"64","Jakobi Meyers","NE","WR","14.8","1","14.8"
