"Rank","Player","Team","Position","Points","Games","Avg"
"1","Patrick Mahomes II","KC","QB","36.2","1","36.2"
"2","Deebo Samuel","SF","WR","30.3","1","30.3"
"3","Stefon Diggs","BUF","WR","30.2","1","30.2"
"4","Darrel Williams","KC","RB","29.4","1","29.4"
"5","CeeDee Lamb","DAL","WR","28.6","1","28.6"
"6","Tyreek Hill","KC","WR","27.5","1","27.5"
"7","Rhamondre Stevenson","NE","RB","27.4","1","27.4"
"8","AJ Dillon","GB","RB","26.8","1","26.8"
"9","Dak Prescott","DAL","QB","26.3","1","26.3"
"10","Christian McCaffrey","CAR","RB","26.1","1","26.1"
"11","Jonathan Taylor","IND","RB","24.6","1","24.6"
"12","Kendrick Bourne","NE","WR","24.1","1","24.1"
"13","Cooper Kupp","LAR","WR","23.2","1","23.2"
"14","Dallas Cowboys","DAL","DST","23.0","1","23.0"
"15","Justin Jefferson","MIN","WR","22.9","1","22.9"
"16","D'Ernest Johnson","CLE","RB","22.7","1","22.7"
"17","DeVonta Smith","PHI","WR","22.6","1","22.6"
"18","Josh Allen","BUF","QB","21.9","1","21.9"
"19","Antonio Gibson","WAS","RB","21.8","1","21.8"
"20","Ezekiel Elliott","DAL","RB","20.8","1","20.8"
"20","Mark Ingram II","Multi","RB","20.8","1","20.8"
"20","Dalvin Cook","MIN","RB","20.8","1","20.8"
"23","Mac Jones","NE","QB","19.9","1","19.9"
"23","Trevor Siemian","NO","QB","19.9","1","19.9"
"23","Travis Kelce","KC","TE","19.9","1","19.9"
"26","Hunter Henry","NE","TE","19.7","1","19.7"
"27","Jalen Hurts","PHI","QB","19.6","1","19.6"
"28","Derek Carr","LV","QB","19.2","1","19.2"
"29","Ryan Tannehill","TEN","QB","18.6","1","18.6"
"30","James Robinson","JAC","RB","18.4","1","18.4"
"31","Mark Andrews","BAL","TE","18.3","1","18.3"
"32","Michael Carter","NYJ","RB","18.2","1","18.2"
"33","Matt Breida","BUF","RB","18.0","1","18.0"
"33","Miami Dolphins","MIA","DST","18.0","1","18.0"
"35","Bryan Edwards","LV","WR","17.8","1","17.8"
"35","Keenan Allen","LAC","WR","17.8","1","17.8"
