"Rank","Player","Team","Position","Points","Games","Avg"
"1","Tee Higgins","CIN","WR","43.4","1","43.4"
"2","Joe Burrow","CIN","QB","38.1","1","38.1"
"3","Justin Jackson","LAC","RB","34.2","1","34.2"
"4","Davante Adams","GB","WR","33.4","1","33.4"
"5","Joe Mixon","CIN","RB","31.5","1","31.5"
"5","A.J. Brown","TEN","WR","31.5","1","31.5"
"7","Dak Prescott","DAL","QB","31.3","1","31.3"
"8","Josh Allen","BUF","QB","31.0","1","31.0"
"9","Isaiah McKenzie","BUF","WR","29.4","1","29.4"
"10","Rex Burkhead","HOU","RB","28.9","1","28.9"
"11","Damien Harris","NE","RB","28.3","1","28.3"
"12","Deebo Samuel","SF","WR","28.1","1","28.1"
"13","Nick Chubb","CLE","RB","27.4","1","27.4"
"14","Chase Edmonds","ARI","RB","26.7","1","26.7"
"15","Mark Andrews","BAL","TE","26.5","1","26.5"
"16","Amon-Ra St. Brown","DET","WR","26.0","1","26.0"
"17","Byron Pringle","KC","WR","25.5","1","25.5"
"18","Jaylen Waddle","MIA","WR","25.2","1","25.2"
"19","Miami Dolphins","MIA","DST","25.0","1","25.0"
"20","Dallas Cowboys","DAL","DST","24.0","1","24.0"
"21","David Montgomery","CHI","RB","23.6","1","23.6"
"22","Zach Wilson","NYJ","QB","23.2","1","23.2"
"23","Patrick Mahomes II","KC","QB","22.3","1","22.3"
"24","Dalton Schultz","DAL","TE","22.2","1","22.2"
"25","Kyler Murray","ARI","QB","21.9","1","21.9"
"26","Stefon Diggs","BUF","WR","21.5","1","21.5"
"26","Amari Cooper","DAL","WR","21.5","1","21.5"
"28","Cooper Kupp","LAR","WR","21.3","1","21.3"
"29","Sony Michel","LAR","RB","20.5","1","20.5"
"30","Josh Johnson","Multi","QB","20.2","1","20.2"
"31","Antonio Brown","TB","WR","20.1","1","20.1"
"32","Aaron Rodgers","GB","QB","20.0","1","20.0"
"33","Justin Jefferson","MIN","WR","19.6","1","19.6"
"34","Rashaad Penny","SEA","RB","19.5","1","19.5"
"34","Ja'Marr Chase","CIN","WR","19.5","1","19.5"
"36","DeVonta Smith","PHI","WR","19.0","1","19.0"
"37","Justin Herbert","LAC","QB","18.9","1","18.9"
"38","Devin Singletary","BUF","RB","18.8","1","18.8"
"39","Davis Mills","HOU","QB","18.1","1","18.1"
"40","K.J. Osborn","MIN","WR","17.8","1","17.8"
"41","Tyler Boyd","CIN","WR","17.5","1","17.5"
"42","Carson Wentz","IND","QB","17.4","1","17.4"
"43","Kirk Cousins","MIN","QB","17.3","1","17.3"
"44","Ezekiel Elliott","DAL","RB","17.2","1","17.2"
"44","Malik Turner","DAL","WR","17.2","1","17.2"
"46","Gerald Everett","SEA","TE","16.8","1","16.8"
"46","Nick Foles","CHI","QB","16.8","1","16.8"
"48","Jalen Hurts","PHI","QB","16.7","1","16.7"
"49","Michael Pittman Jr.","IND","WR","16.5","1","16.5"
"49","Russell Wilson","SEA","QB","16.5","1","16.5"
"51","Kyle Pitts","ATL","TE","16.2","1","16.2"
"52","Ronald Jones II","TB","RB","16.1","1","16.1"
"53","Najee Harris","PIT","RB","16.0","1","16.0"
"53","Tampa Bay Buccaneers","TB","DST","16.0","1","16.0"
"53","Alexander Mattison","MIN","RB","16.0","1","16.0"
"53","Ryan Succop","TB","K","16.0","1","16.0"
"53","Philadelphia Eagles","PHI","DST","16.0","1","16.0"
"58","Marvin Jones Jr.","JAC","WR","15.4","1","15.4"
"59","Joshua Palmer","LAC","WR","15.3","1","15.3"
"60","Jimmy Garoppolo","SF","QB","15.2","1","15.2"
"60","Dare Ogunbowale","JAC","RB","15.2","1","15.2"
"62","T.Y. Hilton","IND","WR","15.1","1","15.1"
"62","Diontae Johnson","PIT","WR","15.1","1","15.1"
"64","Chris Conley","HOU","WR","15.0","1","15.0"
"64","Braxton Berrios","NYJ","WR","15.0","1","15.0"
"66","Tavon Austin","JAC","WR","14.9","1","14.9"
"67","Jeff Wilson Jr.","SF","RB","14.7","1","14.7"
"68","James Proche II","BAL","WR","14.6","1","14.6"
"68","Ryan Tannehill","TEN","QB","14.6","1","14.6"
"70","Michael Carter","NYJ","RB","14.4","1","14.4"
"70","Tom Brady","TB","QB","14.4","1","14.4"
"72","Baker Mayfield","CLE","QB","14.0","1","14.0"
"72","Brandon Aiyuk","SF","WR","14.0","1","14.0"
"74","Antonio Gibson","WAS","RB","13.8","1","13.8"
"74","Allen Lazard","GB","WR","13.8","1","13.8"
"76","Aaron Jones","GB","RB","13.7","1","13.7"
"76","Odell Beckham Jr.","Multi","WR","13.7","1","13.7"
"78","Derrick Gore","KC","RB","13.4","1","13.4"
"78","Zach Ertz","Multi","TE","13.4","1","13.4"
"80","Matt Ryan","ATL","QB","13.1","1","13.1"
"81","Elliott Fry","KC","K","13.0","1","13.0"
"81","Ke'Shawn Vaughn","TB","RB","13.0","1","13.0"
"81","Green Bay Packers","GB","DST","13.0","1","13.0"
"81","Hunter Renfrow","LV","WR","13.0","1","13.0"
"81","Dominik Eberle","HOU","K","13.0","1","13.0"
"86","Trevor Lawrence","JAC","QB","12.9","1","12.9"
"87","Rashod Bateman","BAL","WR","12.6","1","12.6"
"88","John Bates","WAS","TE","12.5","1","12.5"
"88","Cyril Grayson Jr.","TB","WR","12.5","1","12.5"
"90","Nico Collins","HOU","WR","12.3","1","12.3"
"91","Mecole Hardman","KC","WR","12.1","1","12.1"
"91","D.K. Metcalf","SEA","WR","12.1","1","12.1"
"93","Greg Joseph","MIN","K","12.0","1","12.0"
"93","Kansas City Chiefs","KC","DST","12.0","1","12.0"
"93","Dustin Hopkins","Multi","K","12.0","1","12.0"
"93","Houston Texans","HOU","DST","12.0","1","12.0"
"93","Matt Gay","LAR","K","12.0","1","12.0"
"98","Jakobi Meyers","NE","WR","11.9","1","11.9"
"99","Christian Kirk","ARI","WR","11.8","1","11.8"
"100","Evan Engram","NYG","TE","11.7","1","11.7"
"101","Shi Smith","CAR","WR","11.6","1","11.6"
"102","Darrel Williams","KC","RB","11.5","1","11.5"
"103","Josh Jacobs","LV","RB","11.4","1","11.4"
"104","Evan McPherson","CIN","K","11.0","1","11.0"
"104","Jimmy Graham","CHI","TE","11.0","1","11.0"
"104","Tua Tagovailoa","MIA","QB","11.0","1","11.0"
"104","Zay Jones","LV","WR","11.0","1","11.0"
"104","Matthew Wright","JAC","K","11.0","1","11.0"
"104","Los Angeles Rams","LAR","DST","11.0","1","11.0"
"104","Younghoe Koo","ATL","K","11.0","1","11.0"
"111","Antoine Wesley","ARI","WR","10.9","1","10.9"
"111","Darnell Mooney","CHI","WR","10.9","1","10.9"
"113","Rashard Higgins","CLE","WR","10.8","1","10.8"
"113","Robby Anderson","CAR","WR","10.8","1","10.8"
"113","Jonathan Taylor","IND","RB","10.8","1","10.8"
"116","Foster Moreau","LV","TE","10.7","1","10.7"
"117","Tim Boyle","DET","QB","10.5","1","10.5"
"117","DJ Moore","CAR","WR","10.5","1","10.5"
"119","CeeDee Lamb","DAL","WR","10.4","1","10.4"
"120","Hayden Hurst","ATL","TE","10.1","1","10.1"
"120","Clyde Edwards-Helaire","KC","RB","10.1","1","10.1"
"120","Boston Scott","PHI","RB","10.1","1","10.1"
"123","Jake Elliott","PHI","K","10.0","1","10.0"
"123","Lil'Jordan Humphrey","NO","WR","10.0","1","10.0"
"123","Devonta Freeman","BAL","RB","10.0","1","10.0"
"123","Brandon McManus","DEN","K","10.0","1","10.0"
"123","Javonte Williams","DEN","RB","10.0","1","10.0"
"123","Riley Patterson","DET","K","10.0","1","10.0"
"129","Anthony Schwartz","CLE","WR","9.9","1","9.9"
"130","Khalil Herbert","CHI","RB","9.8","1","9.8"
"131","Matthew Stafford","LAR","QB","9.7","1","9.7"
"132","Brevin Jordan","HOU","TE","9.6","1","9.6"
"133","Jarvis Landry","CLE","WR","9.5","1","9.5"
"133","Derek Carr","LV","QB","9.5","1","9.5"
"135","Jared Cook","LAC","TE","9.4","1","9.4"
"135","Laquon Treadwell","JAC","WR","9.4","1","9.4"
"135","Marquise Brown","BAL","WR","9.4","1","9.4"
"138","Peyton Barber","LV","RB","9.2","1","9.2"
"139","Cameron Brate","TB","TE","9.1","1","9.1"
"139","Tyler Higbee","LAR","TE","9.1","1","9.1"
