"Rank","Player","Team","Position","Points","Games","Avg"
"1","Cooper Kupp","LAR","WR","37.6","1","37.6"
"2","Ja'Marr Chase","CIN","WR","34.1","1","34.1"
"3","Alvin Kamara","NO","RB","33.9","1","33.9"
"4","Mike Evans","TB","WR","31.6","1","31.6"
"5","Tua Tagovailoa","MIA","QB","28.5","1","28.5"
"6","D'Andre Swift","DET","RB","28.4","1","28.4"
"7","Joe Burrow","CIN","QB","27.6","1","27.6"
"8","A.J. Brown","TEN","WR","27.3","1","27.3"
"9","Matthew Stafford","LAR","QB","27.2","1","27.2"
"10","Damien Harris","NE","RB","25.3","1","25.3"
"11","Terry McLaurin","WAS","WR","25.2","1","25.2"
"12","Chris Godwin","TB","WR","25.1","1","25.1"
"13","D'Ernest Johnson","CLE","RB","24.8","1","24.8"
"14","Aaron Rodgers","GB","QB","24.7","1","24.7"
"15","Tom Brady","TB","QB","24.4","1","24.4"
"16","C.J. Uzomah","CIN","TE","24.1","1","24.1"
"17","Jalen Hurts","PHI","QB","23.5","1","23.5"
"18","Kyle Pitts","ATL","TE","23.3","1","23.3"
"19","Lamar Jackson","BAL","QB","23.1","1","23.1"
"20","Kyler Murray","ARI","QB","22.4","1","22.4"
"21","Mac Jones","NE","QB","22.2","1","22.2"
"22","Mike Gesicki","MIA","TE","21.5","1","21.5"
"23","Taylor Heinicke","WAS","QB","21.2","1","21.2"
"24","Tampa Bay Buccaneers","TB","DST","21.0","1","21.0"
"24","Deebo Samuel","SF","WR","21.0","1","21.0"
"26","Michael Pittman Jr.","IND","WR","20.5","1","20.5"
"27","Ryan Tannehill","TEN","QB","20.4","1","20.4"
"28","Carson Wentz","IND","QB","20.3","1","20.3"
"29","Derek Carr","LV","QB","20.0","1","20.0"
"30","Brandon Bolden","NE","RB","19.9","1","19.9"
"31","Davante Adams","GB","WR","19.6","1","19.6"
"32","Marquise Brown","BAL","WR","19.0","1","19.0"
"33","Matt Ryan","ATL","QB","18.4","1","18.4"
"34","DeAndre Hopkins","ARI","WR","18.3","1","18.3"
"34","Khalil Herbert","CHI","RB","18.3","1","18.3"
"36","Foster Moreau","LV","TE","18.0","1","18.0"
"36","Jonathan Taylor","IND","RB","18.0","1","18.0"
"38","Myles Gaskin","MIA","RB","17.7","1","17.7"
"39","Kalif Raymond","DET","WR","17.6","1","17.6"
"39","D.K. Metcalf","SEA","WR","17.6","1","17.6"
"41","Daniel Jones","NYG","QB","17.5","1","17.5"
"42","Javonte Williams","DEN","RB","17.2","1","17.2"
"43","Allen Lazard","GB","WR","17.0","1","17.0"
"43","Tennessee Titans","TEN","DST","17.0","1","17.0"
"43","Leonard Fournette","TB","RB","17.0","1","17.0"
"43","New York Giants","NYG","DST","17.0","1","17.0"
"47","Jameis Winston","NO","QB","16.9","1","16.9"
"47","Kenyan Drake","LV","RB","16.9","1","16.9"
"49","Russell Gage","ATL","WR","16.7","1","16.7"
"49","Elijah Mitchell","SF","RB","16.7","1","16.7"
"51","Michael Carter","NYJ","RB","16.4","1","16.4"
"51","Derrick Henry","TEN","RB","16.4","1","16.4"
"53","Robert Tonyan","GB","TE","16.3","1","16.3"
"54","Zach Ertz","Multi","TE","16.0","1","16.0"
"55","Kendrick Bourne","NE","WR","15.8","1","15.8"
